Date,AirT_0,AirT_1,AirT_2,AirT_3,average_AirT
1995-02-28,17.342499999999998,17.489642857142858,17.290357142857143,17.853928571428572,17.494107142857143
1995-03-31,20.901935483870968,21.14483870967742,21.004666666666665,21.355862068965518,21.15518817204301
1995-04-30,23.733,23.826,23.673333333333336,25.17473684210526,23.84361111111111
1995-05-31,27.089354838709678,27.219354838709677,26.89483870967742,27.65838709677419,27.21548387096774
1995-06-30,27.096999999999998,26.998333333333335,26.738,27.497666666666664,27.082749999999997
1995-07-31,27.949677419354842,27.874193548387098,27.470000000000002,28.35516129032258,27.912258064516127
1995-08-31,28.171785714285715,28.320967741935487,27.92032258064516,28.798709677419353,28.31475806451613
1995-09-30,28.21777777777778,27.985333333333333,27.622333333333334,28.545666666666666,28.0045
1995-10-31,25.99774193548387,26.20387096774194,26.098387096774193,26.6624,26.26037634408602
1995-11-30,20.497,20.476,20.823666666666668,21.54714285714286,20.802722222222222
1995-12-31,17.00774193548387,17.056774193548385,17.493548387096773,18.199677419354842,17.439435483870966
1996-01-31,16.06451612903226,16.424516129032256,16.217741935483872,16.859354838709677,16.391532258064515
1996-02-29,16.947586206896553,17.093103448275862,17.026896551724136,17.808620689655175,17.21905172413793
1996-03-31,18.273870967741935,18.49290322580645,18.52,19.168709677419354,18.613870967741935
1996-04-30,22.455333333333332,23.07740740740741,22.478333333333335,23.209,22.700666666666667
1996-05-31,25.468387096774194,25.823225806451614,25.404193548387095,26.293225806451613,25.747258064516128
1996-06-30,26.356333333333332,26.426333333333332,26.2,27.055333333333333,26.5095
1996-07-31,28.373548387096776,28.51483870967742,28.205483870967743,29.093548387096774,28.546854838709677
1996-08-31,27.638709677419353,27.74774193548387,27.562258064516126,28.479032258064517,27.856935483870966
1996-09-30,27.479333333333333,27.719,27.522,28.341,27.765333333333334
1996-10-31,24.664193548387097,24.855483870967742,24.768709677419356,25.582903225806454,24.96782258064516
1996-11-30,20.968666666666664,20.882333333333335,21.216,21.939666666666668,21.251666666666665
1996-12-31,18.457727272727272,18.409354838709678,18.536774193548386,18.83086956521739,18.691021505376344
1997-01-31,18.03806451612903,17.969032258064516,18.03806451612903,18.819,18.237983870967742
1997-02-28,20.923571428571428,20.969642857142855,21.01607142857143,21.830714285714286,21.185
1997-03-31,23.270967741935483,23.340967741935483,23.25774193548387,24.100322580645162,23.4925
1997-04-30,22.346333333333334,22.431333333333335,22.441666666666666,23.15266666666667,22.593
