Date,WNDS_0,WNDS_1,WNDS_2,WNDS_3,average_WNDS
1988-08-31,,8.876666666666667,,,8.876666666666667
1988-09-30,,14.53625,,,14.53625
1988-10-31,,9.146666666666667,,,9.146666666666667
1988-11-30,,11.144333333333332,,,11.144333333333332
1988-12-31,,16.615,,,16.615
1989-01-31,,7.4175,6.57,,7.62625
1989-02-28,,10.045,11.29857142857143,,10.671785714285715
1989-03-31,,7.483333333333334,10.692258064516128,,10.713387096774193
1989-04-30,,11.4,10.503,,10.62
1989-05-31,,10.491290322580646,,,10.491290322580646
1989-06-30,,9.797,,,9.797
1989-07-31,,6.4215,,,6.4215
1989-08-31,,8.431666666666667,8.28,,8.369565217391305
1989-09-30,,9.504705882352942,9.697333333333335,,9.627666666666666
1989-10-31,,,11.341290322580644,,11.341290322580644
1989-11-30,,10.475454545454546,10.869333333333334,,10.585
1989-12-31,,8.624285714285715,10.324193548387097,,10.13790322580645
1990-01-31,,8.893076923076922,8.310322580645161,,8.577419354838709
1990-02-28,,11.69095238095238,11.691785714285714,,11.556964285714287
1990-03-31,,11.73967741935484,11.180666666666667,,11.668870967741936
1990-04-30,,10.112,,13.030000000000001,11.703636363636365
1990-05-31,,,,11.297741935483872,11.297741935483872
1990-06-30,,5.908518518518519,1.085,8.815666666666667,7.292055555555555
1990-07-31,,9.798709677419355,8.696190476190477,9.433913043478261,9.242258064516129
1990-08-31,,7.5175,6.196774193548387,6.757096774193548,6.557043010752689
1990-09-30,,,9.067,9.317333333333332,9.282666666666668
1990-10-31,,10.92,10.127857142857142,11.546774193548387,10.788870967741936
1990-11-30,,7.626,4.928,10.113,7.555666666666667
1990-12-31,,5.477096774193548,8.153684210526315,8.909032258064517,7.52241935483871
1991-01-31,,7.955,11.351739130434781,10.363870967741937,10.254516129032258
1991-02-28,,10.620000000000001,12.36,11.272857142857143,10.578214285714285
1991-03-31,,11.661612903225807,12.744761904761905,,12.02483870967742
1991-04-30,,12.555909090909092,10.304782608695652,9.990625,11.731055555555555
1991-05-31,,10.014999999999999,9.751304347826087,11.20774193548387,10.69505376344086
1991-06-30,,9.51923076923077,6.414333333333333,8.597666666666667,7.469555555555556
1991-07-31,,6.4090476190476195,4.696315789473684,8.31388888888889,6.432795698924731
1991-08-31,,5.909677419354838,3.8583870967741936,7.700399999999999,5.619516129032259
1991-09-30,,6.938333333333333,4.2765,8.642,7.154166666666667
1991-10-31,,9.016,4.934838709677419,10.408571428571427,7.820591397849462
1991-11-30,,7.725666666666667,4.674,,6.199833333333333
1991-12-31,,5.053,3.5736363636363637,,4.006590909090909
1992-01-31,,4.3100000000000005,4.779677419354838,,4.637741935483871
1992-02-29,,5.342758620689655,4.6328,,5.25103448275862
1992-03-31,,6.276315789473684,5.515294117647059,,5.87925925925926
1992-04-30,,7.099666666666667,5.281666666666666,,6.190666666666667
1992-05-31,,6.071612903225806,4.0361290322580645,,5.053870967741935
1992-06-30,,5.675666666666667,3.6921739130434785,,4.958166666666667
1992-07-31,,4.9238709677419354,2.86741935483871,,3.8956451612903225
1992-08-31,,5.14,6.340833333333333,,5.606935483870967
1992-09-30,,5.194333333333333,10.114333333333333,,7.654333333333333
1992-10-31,,5.681818181818182,11.747741935483871,,10.568064516129033
1992-11-30,,,14.241666666666667,,14.241666666666667
1992-12-31,,,8.88875,,8.88875
1993-01-31,,11.183076923076923,,,11.183076923076923
1993-02-28,,11.862857142857143,,,11.862857142857143
1993-03-31,,12.248064516129032,12.01774193548387,,12.132903225806452
1993-04-30,,12.965,13.279,12.655555555555557,13.107777777777779
1993-05-31,,12.807741935483872,12.296129032258065,12.343870967741934,12.48258064516129
1993-06-30,,10.404666666666666,9.683666666666666,9.936333333333334,10.008222222222223
1993-07-31,,7.845483870967742,7.4390322580645165,7.947096774193548,7.743870967741936
1993-08-31,,9.369032258064516,9.061612903225807,9.358709677419355,9.263118279569893
1993-09-30,,9.852,9.267,9.446,9.521666666666667
1993-10-31,,10.226451612903226,10.36774193548387,10.588387096774193,10.394193548387097
1993-11-30,,11.286,12.688333333333333,13.028571428571428,12.216666666666667
1993-12-31,,9.793870967741936,11.68774193548387,11.77774193548387,11.086451612903225
1994-01-31,,11.449677419354838,12.626774193548387,12.326451612903226,12.134301075268818
1994-02-28,,11.297142857142857,11.635,11.555000000000001,11.495714285714286
1994-03-31,,11.72709677419355,12.762258064516129,12.642903225806451,12.37741935483871
1994-04-30,,12.314333333333334,12.222666666666667,12.422666666666666,12.31988888888889
1994-05-31,,10.373870967741935,10.449032258064516,10.360000000000001,10.394301075268817
1994-06-30,,8.040000000000001,8.890666666666668,9.053666666666667,8.977444444444444
1994-07-31,,9.966666666666667,8.854193548387098,9.156129032258063,9.014731182795698
1994-08-31,8.516785714285714,9.062000000000001,8.336774193548386,8.65516129032258,8.597069892473119
1994-09-30,8.694333333333333,8.579,9.049333333333333,9.014999999999999,8.834416666666668
1994-10-31,9.492903225806451,9.19,10.243870967741936,10.339677419354837,9.816612903225806
1994-11-30,10.83,10.556666666666667,12.631666666666666,12.872307692307693,11.623083333333334
1994-12-31,9.511612903225807,9.886129032258065,12.172580645161291,12.35193548387097,10.980564516129032
1995-01-31,8.022903225806452,9.171612903225807,11.616129032258065,11.482903225806453,10.073387096774193
1995-02-28,8.147142857142857,9.370357142857143,11.280000000000001,11.019642857142857,9.954285714285716
1995-03-31,9.433225806451613,11.081612903225807,12.717,12.741724137931033,11.365537634408602
1995-04-30,9.462,11.956,12.181666666666667,11.891578947368421,11.316777777777778
