time,lat,lon,tp
1991-09-01,27.05,-80.85,0.0028356963
1991-09-01,26.8,-80.85,0.0029457712
1991-09-01,27.05,-80.6,0.002889564
1991-09-01,26.8,-80.6,0.0033827329
1991-10-01,27.05,-81.1,0.0022159691
1991-10-01,26.8,-81.1,0.0027817066
1991-10-01,27.05,-80.85,0.0026582654
1991-10-01,26.8,-80.85,0.00328322
1991-10-01,27.05,-80.6,0.0031037207
1991-10-01,26.8,-80.6,0.004045057
1991-11-01,27.05,-81.1,0.0006096461
1991-11-01,26.8,-81.1,0.000662575
1991-11-01,27.05,-80.85,0.00075415755
1991-11-01,26.8,-80.85,0.00079500163
1991-11-01,27.05,-80.6,0.00089913094
1991-11-01,26.8,-80.6,0.00080033625
1991-12-01,27.05,-81.1,0.0003696247
1991-12-01,26.8,-81.1,0.000275807
1991-12-01,27.05,-80.85,0.00040241843
1991-12-01,26.8,-80.85,0.00032216078
1991-12-01,27.05,-80.6,0.0004186607
1991-12-01,26.8,-80.6,0.0004948913
1992-01-01,27.05,-81.1,0.0011454183
1992-01-01,26.8,-81.1,0.0009983885
1992-01-01,27.05,-80.85,0.001214053
1992-01-01,26.8,-80.85,0.00104678
1992-01-01,27.05,-80.6,0.0014148462
1992-01-01,26.8,-80.6,0.0011912915
1992-02-01,27.05,-81.1,0.0012450791
1992-02-01,26.8,-81.1,0.0012176684
1992-02-01,27.05,-80.85,0.0011507082
1992-02-01,26.8,-80.85,0.0011589187
1992-02-01,27.05,-80.6,0.0011423058
1992-02-01,26.8,-80.6,0.0012187823
1992-03-01,27.05,-81.1,0.0012176125
1992-03-01,26.8,-81.1,0.0011958857
1992-03-01,27.05,-80.85,0.0012103678
1992-03-01,26.8,-80.85,0.0011970536
1992-03-01,27.05,-80.6,0.001156596
1992-03-01,26.8,-80.6,0.0011581606
1992-04-01,27.05,-81.1,0.0017410349
1992-04-01,26.8,-81.1,0.0019322168
1992-04-01,27.05,-80.85,0.0015972834
1992-04-01,26.8,-80.85,0.0018498283
1992-04-01,27.05,-80.6,0.0017865133
1992-04-01,26.8,-80.6,0.002109481
1992-05-01,27.05,-81.1,0.00045351475
1992-05-01,26.8,-81.1,0.000477975
1992-05-01,27.05,-80.85,0.0003517063
1992-05-01,26.8,-80.85,0.00037190854
1992-05-01,27.05,-80.6,0.00045200228
1992-05-01,26.8,-80.6,0.0003501752
1992-06-01,27.05,-81.1,0.012497019
1992-06-01,26.8,-81.1,0.012240123
1992-06-01,27.05,-80.85,0.010009777
1992-06-01,26.8,-80.85,0.010169398
