year,month,time_x,lat,lon,monthly_avg_temp,AirT_0,AirT_1,AirT_2,AirT_3,monthly_avg_observed,time_y,obs_Temp,Forecast_Temp
1990,1,1990-01-01,26.925,-80.85,294.09560500000003,,23.64923076923077,20.80354838709677,,20.919838709677418,1990-01-16 00:00:00,20.919838709677418,20.945605000000057
1990,2,1990-02-01,26.925,-80.85,295.137385,,21.48952380952381,22.606785714285714,,22.238571428571426,1990-02-14 12:00:00,22.238571428571426,21.987385000000017
1990,3,1990-03-01,26.925,-80.85,295.25734,,19.266451612903225,22.004,,19.554354838709674,1990-03-16 00:00:00,19.554354838709674,22.107340000000022
1990,4,1990-04-01,26.925,-80.85,296.1106633333333,,16.15,,,16.15,1990-04-15 12:00:00,16.15,22.960663333333343
1990,5,1990-05-01,26.925,-80.85,299.479015,,,,26.12366666666667,26.12366666666667,1990-05-16 00:00:00,26.12366666666667,26.329015000000027
1990,6,1990-06-01,26.925,-80.85,300.6713683333333,,27.081111111111113,28.45,27.43933333333333,27.303555555555555,1990-06-15 12:00:00,27.303555555555555,27.521368333333328
1990,7,1990-07-01,26.925,-80.85,300.9239933333333,,27.73193548387097,27.639047619047616,27.870434782608694,27.817580645161293,1990-07-16 00:00:00,27.817580645161293,27.77399333333335
1990,8,1990-08-01,26.925,-80.85,300.916895,,28.065625,28.278750000000002,28.35516129032258,28.246344086021505,1990-08-16 00:00:00,28.246344086021505,27.766895000000034
1990,9,1990-09-01,26.925,-80.85,300.89337,,,,28.09333333333333,28.09333333333333,1990-09-15 12:00:00,28.09333333333333,27.743370000000027
1990,10,1990-10-01,26.925,-80.85,298.88754666666665,,22.4,25.89107142857143,26.02548387096774,26.024623655913977,1990-10-16 00:00:00,26.024623655913977,25.737546666666674
1990,11,1990-11-01,26.925,-80.85,295.6220333333333,,21.872,22.383,22.351333333333333,22.20211111111111,1990-11-15 12:00:00,22.20211111111111,22.472033333333343
1990,12,1990-12-01,26.925,-80.85,294.1871333333333,,21.693225806451615,19.882631578947368,20.574838709677422,21.08682795698925,1990-12-16 00:00:00,21.08682795698925,21.037133333333315
1991,1,1991-01-01,26.925,-80.85,293.96828666666664,,24.774444444444445,20.42086956521739,20.804516129032255,21.633763440860214,1991-01-16 00:00:00,21.633763440860214,20.818286666666665
1991,2,1991-02-01,26.925,-80.85,292.69769,,21.444444444444443,22.849999999999998,19.470833333333335,20.099821428571428,1991-02-14 12:00:00,20.099821428571428,19.547690000000046
1991,3,1991-03-01,26.925,-80.85,294.6685616666667,,23.13806451612903,23.062857142857144,21.55806451612903,22.523333333333333,1991-03-16 00:00:00,22.523333333333333,21.5185616666667
1991,4,1991-04-01,26.925,-80.85,297.5886533333333,,24.594090909090912,25.24086956521739,24.677,24.608833333333333,1991-04-15 12:00:00,24.608833333333333,24.43865333333332
1991,5,1991-05-01,26.925,-80.85,299.2659816666667,,27.151290322580643,27.878387096774194,26.701290322580647,27.243655913978493,1991-05-16 00:00:00,27.243655913978493,26.1159816666667
1991,6,1991-06-01,26.925,-80.85,300.1530383333333,,27.042307692307695,28.985666666666667,27.467333333333332,28.13361111111111,1991-06-15 12:00:00,28.13361111111111,27.003038333333336
1991,7,1991-07-01,26.925,-80.85,300.482505,,28.37952380952381,29.438387096774196,28.070555555555554,28.771129032258063,1991-07-16 00:00:00,28.771129032258063,27.332505000000026
1991,8,1991-08-01,26.925,-80.85,300.8992333333333,,29.128064516129033,30.175806451612903,28.6308,29.39317204301075,1991-08-16 00:00:00,29.39317204301075,27.749233333333336
1991,9,1991-09-01,26.925,-80.85,300.22767833333336,,28.218333333333334,29.2425,28.186470588235295,28.680799999999998,1991-09-15 12:00:00,28.680799999999998,27.07767833333338
1991,10,1991-10-01,26.925,-80.85,297.9465016666667,,25.674,27.126451612903224,,26.43048387096774,1991-10-16 00:00:00,26.43048387096774,24.7965016666667
1991,11,1991-11-01,26.925,-80.85,294.01746333333335,,20.572333333333333,22.140666666666668,,21.3565,1991-11-15 12:00:00,21.3565,20.867463333333376
1991,12,1991-12-01,26.925,-80.85,293.64327833333334,,21.014,21.889545454545456,,21.55909090909091,1991-12-16 00:00:00,21.55909090909091,20.493278333333365
1992,1,1992-01-01,26.925,-80.85,290.95657,,17.53185185185185,19.02064516129032,,18.423548387096773,1992-01-16 00:00:00,18.423548387096773,17.806570000000022
1992,2,1992-02-01,26.925,-80.85,292.91415,,19.86931034482759,21.0964,,20.396379310344827,1992-02-15 00:00:00,20.396379310344827,19.76415000000003
1992,3,1992-03-01,26.925,-80.85,293.6657583333333,,22.49,22.10235294117647,,22.287592592592592,1992-03-16 00:00:00,22.287592592592592,20.515758333333338
1992,4,1992-04-01,26.925,-80.85,295.2069916666667,,22.429666666666666,23.899333333333335,,23.1645,1992-04-15 12:00:00,23.1645,22.056991666666704
1992,5,1992-05-01,26.925,-80.85,297.5707883333333,,24.646451612903224,25.94709677419355,,25.296774193548387,1992-05-16 00:00:00,25.296774193548387,24.42078833333335
